评论者,评论内容,评分,评论时间,产品型号,地区
上***嵶,包装 设计 开箱 五彩斑斓 盒子 挺 炫酷 盒子 正面 中规中矩 瓶子 行 香型 口感 家里 老爷子 爱喝 浓香 酒 家人 日常 聚会 物流 速度 京东 物流 天下第一 服务 没 服务 包装 没 破损,5,2024-02-06 22:05:16,六年窖头曲 52度500mL 整箱,吉林
w***o,好,5,2024-02-06 16:08:38,六年窖头曲 52度500mL 整箱,浙江
凤***6,好,5,2024-02-06 15:23:30,六年窖头曲 52度500mL 整箱,湖北
樱***-,家里 老人 京东 购物 快递 小哥 服务 六楼 帮 送到 家里,5,2024-02-06 13:15:02,六年窖头曲 52度500mL 整箱,河北
z***2,收到 货物 第一次 打开 包装 质量 好 卖家 描述 满意 传送速度 快 物流 公司 服务态度 好 交货 速度 快 这是 令人满意 购物 卖家,5,2024-02-06 11:02:53,六年窖头曲 52度500mL 整箱,江西
j***k,价格 合适 下单 泸州老窖 六年 头曲 不错 物流 送货 速度 很快 京东 自营 店 东西 放心,5,2024-02-06 10:37:28,六年窖头曲 52度500mL 整箱,山东
d***2,挺不错 过年 请客 看着 挺 好,5,2024-02-06 10:25:33,六年窖头曲 52度500mL 单瓶,北京
j***s,高端 大气 上档次 好酒 好酒 好酒 京东,5,2024-02-06 08:39:09,六年窖头曲 52度500mL 整箱,天津
j***D,物流 给力 拆开 包装 齐全 检验 合格证 口感 不错 酒,5,2024-02-06 01:48:31,六年窖头曲 52度500mL 整箱,山东
j***K,购物 满意 送到 下单 地址,5,2024-02-05 21:34:35,六年窖头曲 52度500mL 整箱,四川
啊***3,泸州老窖 年份 酒 公公 天天 喝酒 味道 好 上头 礼品袋 喜庆 过年 送礼 客气,5,2024-02-05 20:43:19,六年窖头曲 52度500mL 整箱,湖南
j***y,整箱 划算 口感 有没有 神奇 过年,5,2024-02-05 19:18:35,六年窖头曲 52度500mL 整箱,安徽
陈***9,好,5,2024-02-05 13:37:07,六年窖头曲 52度500mL 单瓶,广东
Z***9,泸州老窖 六年 窖 头曲 酒质 口感 好 价格 亲民 采用 依旧 单粮 浓香 酒 传统工艺 酿造 酒体 清澈 透明 窖 香 味道 不错 适合 口粮 囤货 慢慢 京东 包装 好 物流 速度 很快,5,2024-02-05 13:04:51,六年窖头曲 52度500mL 整箱,山东
Z***9,泸州老窖 六年 窖 头曲 酒质 口感 好 价格 亲民 采用 依旧 单粮 浓香 酒 传统工艺 酿造 酒体 清澈 透明 窖 香 味道 不错 适合 口粮 囤货 慢慢 京东 包装 好 物流 速度 很快,5,2024-02-05 13:03:54,六年窖头曲 52度500mL 整箱,山东
j***m,好,5,2024-02-05 11:45:19,52度 500mL 2瓶 蓝花瓷龙年礼盒,广西
恒***庄,好,5,2024-02-05 00:31:37,52度 500mL 2瓶 龙行大运礼盒,天津
走***-,酒 香型 口感 没 说,5,2024-02-05 00:06:03,六年窖头曲 52度500mL 整箱,安徽
j***w,是因为 想 是因为 喜欢,5,2024-02-04 23:26:10,六年窖头曲 瑞兔呈祥 礼盒,湖南
向***机,好,5,2024-02-04 18:05:04,52度 500mL 2瓶 春节礼盒,四川
盛***8,建议 这家 店铺 产品 看图 客服 不负责任 想着 套路 降价 价保 来回 收割 建议 转战 天猫 拼 品牌,1,2024-02-04 14:32:51,52度 500mL 2瓶 蓝花瓷龙年礼盒,江苏
j***r,送货上门 客户 门店 取货,1,2024-02-04 12:57:47,六年窖头曲 52度500mL 整箱,江西
j***f,一月 两箱 一箱 天 保价 情况 朋友 手机 第一次 一箱 妥妥 杀熟,1,2024-02-04 11:22:41,六年窖头曲 52度500mL 整箱,河北
明***好,没喝 过年,5,2024-02-04 11:16:43,六年窖头曲 52度500mL 单瓶,广东
j***w,不错 挺 好 图 回来 味道 包装 不错 新年 送礼 挺 好 快递 包装 好 纸箱 气垫 包裹 好 速度 挺快 反正 老 京东 京东 东西 不错 样子 好看 带 分 酒器 酒杯,4,2024-02-04 10:52:49,52度 500mL 2瓶 龙行大运礼盒,河北
张***1,刚刚 收到 货 打开 过年 第一次 直播间 拍 有没有 区别 送货 物流 往常 送 很快 直播间 给京豆 延迟 说 直播间 购买,5,2024-02-04 09:32:30,六年窖头曲 52度500mL 整箱,河北
p***g,国窖 品牌 值得 信赖 泸州老窖 头曲 老 味道 多年 常用 酒品 送货上门 酒好 服务 好,5,2024-02-03 22:47:04,六年窖头曲 52度500mL 整箱,山东
j***4,白酒 劲头 喝酒 上头 气味 纯正 入口 辛爽 价格 优惠 百年 品牌 值得 信赖,5,2024-02-03 21:07:11,六年窖头曲 52度500mL 整箱,河北
C***磊,京东 自营 放心 购 物流 签 外面 送人 妥妥,5,2024-02-03 14:12:05,六年窖头曲 52度500mL 整箱,山东
夜***川,好,5,2024-02-03 12:44:53,六年窖头曲 52度500mL 单瓶,内蒙古
x***逸,物流 快 一如既往 喜欢 京东,5,2024-02-03 11:59:39,六年窖头曲 52度500mL 整箱,河南
u***5,酒 好酒 包装 好 配送 快,5,2024-02-02 18:36:21,六年窖头曲 52度500mL 整箱,山东
S***桥,第二次 不错 口粮 酒,5,2024-02-02 14:50:15,六年窖头曲 52度500mL 单瓶,浙江
T***B,回购 十几年 不错 老牌子 好 三瓶 白酒 一箱 黄酒,5,2024-02-02 13:06:57,六年窖头曲 52度500mL 单瓶,海外
w***2,第二次 次 购买 精美 包装 过节 送 朋友 经济 实惠 推荐,5,2024-02-01 22:17:34,蓝花瓷头曲 52度500mL 礼盒,江苏
j***p,差评,1,2024-02-01 17:45:24,52度 500mL 2瓶 蓝花瓷龙年礼盒,北京
j***U,包装 好评 昨天晚上 单 中午 收到 漂亮 酒 没 打开 哪一年 好喝 不好喝 过后,5,2024-02-01 13:43:05,52度 500mL 2瓶 好事成双礼盒,河南
T***人,买来 过年 送人 包装 精美 酒 不错,5,2024-02-01 11:16:48,52度 500mL 2瓶 龙行大运礼盒,天津
1***莉,发货 速度 快 物流 力 第一天 晚上 第二天 早就 收到 满意,5,2024-02-01 10:04:05,52度 500mL 2瓶 龙行大运礼盒,江苏
王***马,好,5,2024-02-01 00:14:25,六年窖头曲 52度500mL 整箱,安徽
李***g,差评,1,2024-01-31 22:38:15,52度 500mL 2瓶 龙行大运礼盒,广东
j***M,发货 速度 快 价格合理 物流 很快 第二天 口感 不错 适合 聚会 畅饮,5,2024-01-31 22:05:49,六年窖头曲 52度500mL 整箱,河北
我***玉,好,5,2024-01-31 21:11:35,六年窖头曲 52度500mL 整箱,山东
j***4,好,5,2024-01-31 20:24:13,52度 500mL 2瓶 龙行大运礼盒,江苏
j***2,酒 品质 好 物流 很快 快递 小哥 服务 一流,5,2024-01-31 16:35:08,六年窖头曲 52度500mL 整箱,河北
来***招,白酒 独特 醇香 口感 消费者 喜爱 酒 口感 口感 醇厚 不涩 口感 醇厚 好喝 窖 香 浓郁 香味 干净 清爽 酒精 味 香精香料 味道 咋样 追评 国内 物流 翘楚 包装 设计 精美 大气 严谨 好看 送礼 佳品,5,2024-01-31 14:49:49,52度 500mL 2瓶 龙行大运礼盒,云南
j***h,确实 不错 这款 酒 赞 给力 推荐 推荐,5,2024-01-31 10:49:25,52度 500mL 2瓶 春节礼盒,海外
j***j,好,5,2024-01-30 22:06:41,六年窖头曲 52度500mL 整箱,山东
漂***岛,宝贝 收到 超级 喜欢 颜值 高 实用 超级 喜欢,5,2024-01-30 21:49:10,六年窖头曲 52度500mL 整箱,山东
j***8,差评,1,2024-01-30 21:03:43,六年窖头曲 52度500mL 整箱,新疆
北***哥,好,5,2024-01-30 08:14:10,六年窖头曲 52度500mL 整箱,河南
f***g,好,5,2024-01-30 06:37:47,蓝花瓷头曲 52度500mL 礼盒,北京
j***~,快递 很快 物美价廉,5,2024-01-30 01:00:35,六年窖头曲 52度500mL 单瓶,重庆
j***~,好,5,2024-01-30 00:59:21,六年窖头曲 52度500mL 单瓶,重庆
j***k,不错 送货上门 物流 快 商品 宣传 好评,5,2024-01-29 21:10:10,六年窖头曲 52度500mL 整箱,河南
u***r,东西 质量 好 卖家 描述 完全一致 满意,5,2024-01-29 21:06:43,六年窖头曲 52度500mL 单瓶,辽宁
j***0,收到 包装 完好 磕碰 很快 送 家 过节 送礼 有面 瓶 设计 精美 瓶体 厚实 酒 好 称为 口粮 酒 开盖 酒香 浓郁 好 喜欢 喝酒 值得 购买,5,2024-01-29 21:05:33,六年窖头曲 52度500mL 整箱,山东
9***牛,宝贝 收到 质量 不错 包装 精致 材质 优秀 想象 中好 送礼 自用 合适 下次 购买,5,2024-01-29 18:06:28,六年窖头曲 52度500mL 整箱,海南
3***卿,差 购物 配送 快 东西 售后 客服 无语,1,2024-01-29 17:56:00,六年窖头曲 52度500mL 整箱,河北
C***j,京东 自营 值得 信赖 发货 很快 酒 质量 保真 去年 春节 是从 京东 酒,5,2024-01-29 16:42:04,六年窖头曲 52度500mL 单瓶,内蒙古
j***c,货真价实 真的 满意 选购 方便快捷 快递 小哥 态度 好 价格 给力 推荐 回购,5,2024-01-29 15:25:09,六年窖头曲 52度500mL 整箱,河南
喜***2,多年 京东 购物 自营 正品 泸州老窖 品牌 粮食 酒 度 上头 值得 购买 下单 明天 送货到 家 省心 省时省力 赞,5,2024-01-29 11:45:03,六年窖头曲 52度500mL 整箱,天津
j***d,好,5,2024-01-29 07:19:16,六年窖头曲 52度500mL 整箱,四川
****神,单瓶 便宜 样子 货 酒具 杯子 掏钱 公司 太 没 诚意 失望 至极 hellip hellip 送货 更是 一塌糊涂 点才 收到 真想 拒收 冷 要死 下楼,3,2024-01-28 20:54:17,52度 500mL 2瓶 龙行大运礼盒,福建
j***z,味道 不错 挺 好喝 不错,5,2024-01-28 20:25:20,六年窖头曲 52度500mL 单瓶,河南
x***9,品牌,5,2024-01-28 16:50:12,六年窖头曲 52度500mL 整箱,北京
j***y,物流 超级 快 点个 赞 泸州 知名 产品 支持 酒 品质 没 说 性价比 极高 一口气 两箱 岳父 无敌 箱包 小箱 贴心 一箱 三个 礼品袋 一看 正品 装箱 小单 合格证 给力,5,2024-01-28 16:18:01,六年窖头曲 52度500mL 整箱,北京
j***F,好,5,2024-01-27 20:37:13,六年窖头曲 52度500mL 整箱,北京
j***c,好,5,2024-01-27 20:14:36,六年窖头曲 52度500mL 整箱,广东
V***n,好,5,2024-01-27 15:30:39,六年窖头曲 52度500mL 单瓶,江苏
j***y,泸州老窖 年头 曲 收到 包装 大气 适合 送人 有里 有面 朋友 说 酒 好喝 不愧 老 品牌 酒 购买 放心 下单 谢谢,5,2024-01-27 07:53:23,六年窖头曲 52度500mL 整箱,北京
孙***君,买来 送人 礼盒 包装 送人 不错 龙年款 好看 回家 送礼 带 不错 酒香 浓郁 带 杯子 杯 盏 包装 好看 红红火火 京东 物流 很快,5,2024-01-26 21:56:53,52度 500mL 2瓶 龙行大运礼盒,安徽
s***3,包装 设计 包装 精美 外观 大气 香型 口感 入口 酒香 浓郁 口感 好 几份 送给 长辈 京东 出品 必 精品 服务 客服 服务 耐心 细致 不愧 泸州老窖 品牌 眼前一亮 感觉 物流 速度 京东 物流 速度 一如既往 快,5,2024-01-26 18:34:35,52度 500mL 2瓶 龙行大运礼盒,山东
u***k,好,5,2024-01-26 17:46:39,52度 500mL 2瓶 龙行大运礼盒,山东
7***瀚,发货 到货 很快 实物 品质 不错 无论是 外观 质量 没话说 推荐 购买 后续 复购 发货 到货 很快 实物 品质 不错 无论是 外观 质量 没话说 推荐 购买 后续 复购 发货 到货 很快 实物 品质 不错 无论是 外观 质量 没话说 推荐 购买 后续 复购,5,2024-01-25 19:54:28,52度 500mL 2瓶 龙行大运礼盒,山东
j***y,看着 不错 防伪 二维码 进不去 G wifi 转,3,2024-01-25 19:10:59,六年窖头曲 瑞兔呈祥 礼盒,广东
高***4,好,5,2024-01-25 16:30:24,52度 500mL 2瓶 蓝花瓷龙年礼盒,四川
j***9,购买 一款 口粮 酒 赶上 百亿 补贴 价格 优惠 两箱 存货 泸州老窖 京东 官方 旗舰店 酒 放心 京东 快递 给力 转天 送货到 家 赞,5,2024-01-25 14:00:37,52度 1L 6瓶 蓝花瓷头曲大容量,天津
j***y,头天 第二天 真是太 酒 高端 大气 上档次 送礼 佳品,5,2024-01-25 11:51:33,六年窖头曲 瑞兔呈祥 礼盒,山东
f***g,两 箱子 白酒 一瓶 两瓶 喝完,5,2024-01-25 10:41:09,六年窖头曲 52度500mL 整箱,山东
啊***熊,这家 店 服务态度 好 商品质量 完全符合 描述,5,2024-01-25 10:30:48,六年窖头曲 52度500mL 单瓶,内蒙古
j***9,咋天 拍 到货 服务 好 泸州老窖 名牌 好,5,2024-01-24 16:04:56,52度 500mL 2瓶 春节礼盒,江苏
一***波,好 正品,5,2024-01-24 14:45:52,六年窖头曲 52度500mL 整箱,浙江
x***1,送货 速度 快 包装 破损,5,2024-01-23 16:46:20,六年窖头曲 52度500mL 整箱,北京
何***诺,泸州老窖 大销 单品 酒体 饱满 纯正 人口 绵柔 窖 香 浓郁 不到 一百 口粮 酒 值得 购买 纯 粮食 酒 京东 物流 很快 老牌子 值得 信赖 泸州老窖 大销 单品 酒体 饱满 纯正 人口 绵柔 窖 香 浓郁 不到 一百 口粮 酒 值得 购买 纯 粮食 酒 京东 物流 很快 老牌子 值得 信赖,5,2024-01-23 16:18:20,六年窖头曲 52度500mL 整箱,河南
L***X,年 前 礼盒 搞 活动 包装 很漂亮 点个 赞,5,2024-01-23 15:17:57,52度 500mL 2瓶 龙行大运礼盒,海外
没***船,好,5,2024-01-23 14:50:05,六年窖头曲 瑞兔呈祥 礼盒,北京
j***x,昨天中午 下单 早就 收到 京东 物流 牛 京东 自营 客户 用心 两层 包装 送 三个 袋子 酒瓶 二维码 查询 真的 不错,5,2024-01-23 10:22:20,六年窖头曲 52度500mL 整箱,陕西
我***0,辣 不错 昨天 酒,5,2024-01-22 19:53:23,六年窖头曲 52度500mL 整箱,广东
小***-,买来 送礼,5,2024-01-22 13:17:39,52度 500mL 2瓶 龙行大运礼盒,辽宁
g***1,京东 自营 酒 收到 包装 精细 快递 神速 酒香 醇厚 入口 丝滑 度数 高 爽 回味 芳香,5,2024-01-21 22:55:44,52度 500mL 2瓶 蓝花瓷龙年礼盒,广东
x***e,包装 精美 送礼 太 合适 棒,5,2024-01-21 19:45:23,52度 500mL 2瓶 龙行大运礼盒,浙江
小***1,两次 真的 不错 一口 一股 暖流 嗓子 浑身 热乎 呛 上头 第二天 神清气爽 惬意,5,2024-01-21 15:13:56,六年窖头曲 52度500mL 整箱,江苏
j***o,京东 买酒 买到 买菜 快 手 送 酒 超市 送过来 冷天 小哥 辛苦 看图,5,2024-01-21 13:19:41,六年窖头曲 52度500mL 单瓶,北京
坷***r,好,5,2024-01-21 05:19:45,六年窖头曲 52度500mL 整箱,福建
j***X,品牌 值得 信赖 凑 活动 价格 更 划算 渠道 谱 质量第一 相对来说 京东 东西 谱 物流 超快 售后服务 一流 包装 不错 满意 购物 体验,5,2024-01-20 22:08:35,52度 1L 6瓶 蓝花瓷头曲大容量,山东
j***f,好 好 几次 hellip hellip hellip,5,2024-01-20 18:18:12,六年窖头曲 52度500mL 整箱,上海
q***8,老 品牌 值得 信赖 川 酒,5,2024-01-20 15:56:30,六年窖头曲 路路顺 礼盒,河南
j***r,采购 年货 泸州老窖 六年 窖 头曲 先 一箱 浓香型 度 物美 价 高度 酒 采购 久 储存 几年 口感 更好 京东 自营 货真 放心 入口 东西 采购 正规渠道 正品 双层 纸箱包装 黄 胶带 易碎 提示 优先 签 赞 包装 设计 双层 纸箱 外包装 内瓶 盒子 包装 不错 喜庆 香型 口感 浓香型 香味 浓 服务 到位 五星 好评 物流 速度 快 五星 好评,5,2024-01-20 15:49:19,六年窖头曲 52度500mL 整箱,内蒙古
j***s,送 三个 袋子 太 贴心 酒 好喝 便宜 一点 更好 哈哈哈,5,2024-01-20 13:44:29,六年窖头曲 52度500mL 整箱,山东
j***d,酒 收到 品牌 值得 信赖,5,2024-01-20 12:32:21,六年窖头曲 52度500mL 单瓶,河北
山***2,信赖 这款 酒 送人,5,2024-01-20 10:25:41,六年窖头曲 52度500mL 整箱,山东
j***e,好,5,2024-01-20 06:19:38,六年窖头曲 52度500mL 单瓶,天津
j***n,酒 好几年 没 说,5,2024-01-20 00:20:20,六年窖头曲 52度500mL 整箱,江苏
j***v,东西 不错 包装 好看,5,2024-01-19 23:27:56,52度 500mL 2瓶 龙行大运礼盒,安徽
黑***7,好,5,2024-01-19 22:07:57,六年窖头曲 52度500mL 整箱,河北
大***2,快递 很快 质量 棒极了 建议 购买 大无语 事件 家 太好 狠狠 爱 住 值得 购买 产品 做工 精细 想象 中 好 推荐 尝试 收到 打开 不错 质量 超好 颜值 高 推荐 推荐,5,2024-01-19 21:31:10,六年窖头曲 瑞兔呈祥 礼盒,山东
钱***5,好,5,2024-01-19 13:31:19,52度 500mL 2瓶 蓝花瓷龙年礼盒,江苏
阿***5,好,5,2024-01-19 12:19:43,52度 500mL 2瓶 龙行大运礼盒,北京
咚***啊,口感 不错 香度 浓 过年 一家人 自饮 好,5,2024-01-19 08:09:11,六年窖头曲 52度500mL 整箱,湖南
j***K,好,5,2024-01-18 09:35:49,52度 500mL 2瓶 龙行大运礼盒,四川
零***四,好,5,2024-01-18 09:04:03,六年窖头曲 52度500mL 整箱,河南
牛***娘,东西 不错 优惠 放心 省钱 购买 犹豫 挺 好 想象 中 随意 搭 好看 满意,5,2024-01-17 19:08:52,52度 500mL 2瓶 龙行大运礼盒,吉林
j***2,好,5,2024-01-17 10:58:47,六年窖头曲 52度500mL 整箱,四川
j***s,年 酒 新 放 几天 追评,4,2024-01-16 22:22:00,六年窖头曲 52度500mL 整箱,新疆
伍***月,不错 看着 挺 高档,5,2024-01-16 17:29:26,52度 500mL 2瓶 龙行大运礼盒,海外
k***3,喜庆 好看 礼盒 活动 入手 性价比 挺不错,5,2024-01-16 12:46:43,52度 500mL 2瓶 龙行大运礼盒,江苏
j***o,好,5,2024-01-16 12:35:54,六年窖头曲 52度500mL 整箱,浙江
戒***手,一点 口感 醇厚 微甜 回口 大厂 产品 品控 一流 还会,5,2024-01-16 09:34:51,六年窖头曲 52度500mL 整箱,山东
j***e,咖啡 挺 好 价格 实惠 质量 不错,5,2024-01-16 09:33:40,六年窖头曲 52度500mL 整箱,山东
G***W,这酒 吓人,5,2024-01-16 08:14:19,六年窖头曲 52度500mL 整箱,海外
j***n,N 次 回購 質量 好,5,2024-01-15 22:33:27,六年窖头曲 52度500mL 单瓶,上海
j***处,好评 商品质量 好 包装 仔细 配送 速度 很快 下次 还会 购买,5,2024-01-15 15:09:27,六年窖头曲 52度500mL 整箱,天津
